1.000000,-0.000000
0.999013,0.000209
0.996057,0.000834
0.991144,0.001866
0.984292,0.003294
0.975528,0.005100
0.964888,0.007262
0.952414,0.009756
0.938153,0.012554
0.922164,0.015623
0.904508,0.018930
0.885257,0.022442
0.864484,0.026120
0.842274,0.029928
0.818712,0.033829
0.793893,0.037785
0.767913,0.041759
0.740877,0.045712
0.712890,0.049609
0.684062,0.053413
0.654508,0.057088
0.624345,0.060598
0.593691,0.063908
0.562667,0.066985
0.531395,0.069795
0.500000,0.072306
0.468605,0.074488
0.437333,0.076312
0.406309,0.077753
0.375655,0.078744
0.345492,0.079185
0.315938,0.079064
0.287110,0.078378
0.259123,0.077133
0.232087,0.075338
0.206107,0.073013
0.181288,0.070180
0.157726,0.066869
0.135516,0.063118
0.114743,0.058966
0.095492,0.054458
0.077836,0.049641
0.061847,0.044565
0.047586,0.039278
0.035112,0.033830
0.024472,0.028266
0.015708,0.022628
0.008856,0.016954
0.003943,0.011276
0.000987,0.005619
0.000000,0.000000
0.000987,-0.005422
0.003943,-0.010492
0.008856,-0.015203
0.015708,-0.019548
0.024472,-0.023521
0.035112,-0.027116
0.047586,-0.030327
0.061847,-0.033152
0.077836,-0.035589
0.095492,-0.037640
0.114743,-0.039309
0.135516,-0.040606
0.157726,-0.041544
0.181288,-0.042138
0.206107,-0.042411
0.232087,-0.042387
0.259123,-0.042094
0.287110,-0.041564
0.315938,-0.040831
0.345492,-0.039928
0.375655,-0.038893
0.406309,-0.037757
0.437333,-0.036467
0.468605,-0.035011
0.500000,-0.033417
0.531395,-0.031713
0.562667,-0.029925
0.593691,-0.028076
0.624345,-0.026190
0.654508,-0.024285
0.684062,-0.022379
0.712890,-0.020487
0.740877,-0.018623
0.767913,-0.016799
0.793893,-0.015024
0.818712,-0.013309
0.842274,-0.011662
0.864484,-0.010092
0.885257,-0.008605
0.904508,-0.007211
0.922164,-0.005918
0.938153,-0.004732
0.952414,-0.003663
0.964888,-0.002718
0.975528,-0.001903
0.984292,-0.001227
0.991144,-0.000694
0.996057,-0.000310
0.999013,-0.000078
1.000000,0.000000
